20140527,122807281,[req-4d54efe7-5f9d-4b07-98ff-730df9a9292f,admin demo] Got semaphore "f1aed45d-76d4-40de-9a28-16cabbae8f2a" lock /opt/stack/nova/nova/openstack/common/lockutils.py:168
20140527,122807282,[req-4d54efe7-5f9d-4b07-98ff-730df9a9292f,admin demo] Got semaphore / lock "do_terminate_instance" inner /opt/stack/nova/nova/openstack/common/lockutils.py:248
20140527,122807284,[req-4d54efe7-5f9d-4b07-98ff-730df9a9292f,admin demo] Got semaphore "<function _lock_name at 0xa09110c>" lock /opt/stack/nova/nova/openstack/common/lockutils.py:168
20140527,122807287,[req-4d54efe7-5f9d-4b07-98ff-730df9a9292f,admin demo] Got semaphore / lock "_clear_events" inner /opt/stack/nova/nova/openstack/common/lockutils.py:248
20140527,122807288,[req-4d54efe7-5f9d-4b07-98ff-730df9a9292f,admin demo] Semaphore / lock released "_clear_events" inner /opt/stack/nova/nova/openstack/common/lockutils.py:252
20140527,122807437,[req-4d54efe7-5f9d-4b07-98ff-730df9a9292f,admin demo] [instance: f1aed45d-76d4-40de-9a28-16cabbae8f2a] Terminating instance
20140527,122807643,[req-4d54efe7-5f9d-4b07-98ff-730df9a9292f,admin demo] Lazy-loading `system_metadata' on Instance uuid f1aed45d-76d4-40de-9a28-16cabbae8f2a obj_load_attr /opt/stack/nova/nova/objects/instance.py:519
20140527,122808214,[req-4d54efe7-5f9d-4b07-98ff-730df9a9292f,admin demo] Updating cache with info: [VIF({'ovs_interfaceid': None, 'network': Network({'bridge': u'br100', 'subnets': [Subnet({'ips': [FixedIP({'meta': {}, 'version': 4, 'type': u'fixed', 'floating_ips': [], 'address': u'10.0.0.6'})], 'version': 4, 'meta': {u'dhcp_server': u'10.0.0.1'}, 'dns': [IP({'meta': {}, 'version': 4, 'type': u'dns', 'address': u'8.8.4.4'})], 'routes': [], 'cidr': u'10.0.0.0/24', 'gateway': IP({'meta': {}, 'version': 4, 'type': u'gateway', 'address': u'10.0.0.1'})}), Subnet({'ips': [], 'version': None, 'meta': {u'dhcp_server': None}, 'dns': [], 'routes': [], 'cidr': None, 'gateway': IP({'meta': {}, 'version': None, 'type': u'gateway', 'address': None})})], 'meta': {u'tenant_id': None, u'should_create_bridge': True, u'bridge_interface': u'eth0'}, 'id': u'eca36745-dc0b-4981-a754-2f1ad1885d46', 'label': u'private'}), 'devname': None, 'qbh_params': None, 'meta': {}, 'details': {}, 'address': u'fa:16:3e:af:db:3d', 'active': False, 'type': u'bridge', 'id': u'fba595ef-5f3c-4dab-a527-c3b6fc9cbff1', 'qbg_params': None})] update_instance_cache_with_nw_info /opt/stack/nova/nova/network/api.py:74
20140527,122809942,13476, Emitting event <nova.virt.event.LifecycleEvent object at 0xa4ae0cc> emit_event /opt/stack/nova/nova/virt/driver.py:1207
20140527,122809942,13476, Lifecycle event 1 on VM f1aed45d-76d4-40de-9a28-16cabbae8f2a
20140527,122809966,13476, [instance: f1aed45d-76d4-40de-9a28-16cabbae8f2a] Instance destroyed successfully.
